Species,Longitude,Latitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
arenicolus,-104.03,33.15,152,180,45,7808,342,-52,394,240,70,251,50,350,62,9,65,171,31,157,32
arenicolus,-104.02,33.18,151,181,45,7835,342,-53,395,240,69,251,49,352,63,9,65,173,31,159,32
arenicolus,-104,33.28,150,181,45,7823,341,-54,395,238,67,249,48,357,64,10,66,174,32,163,33
arenicolus,-104,33.27,150,181,45,7823,341,-54,395,238,67,249,48,357,64,10,66,174,32,163,33
arenicolus,-103.99,33.21,150,181,45,7834,341,-54,395,239,67,250,48,358,64,10,66,175,32,163,33
arenicolus,-103.98,33.83,144,178,45,7741,335,-55,390,233,62,243,44,369,69,10,67,181,32,177,33
arenicolus,-103.98,33.26,150,181,45,7823,341,-54,395,238,67,249,48,357,64,10,66,174,32,163,33
arenicolus,-103.97,32.75,161,176,45,7722,347,-39,386,248,80,259,60,342,62,9,66,167,30,146,32
arenicolus,-103.96,33.89,144,177,45,7729,334,-54,388,232,61,243,44,369,69,10,67,181,31,178,32
arenicolus,-103.96,33.87,144,178,45,7724,335,-54,389,232,62,243,44,371,69,10,67,182,32,178,33
arenicolus,-103.96,32.98,152,177,45,7687,339,-48,387,238,70,249,51,357,63,9,66,176,31,159,33
arenicolus,-103.96,32.75,161,176,45,7722,347,-39,386,248,80,259,60,342,62,9,66,167,30,146,32
arenicolus,-103.95,33.25,149,180,45,7779,339,-54,393,237,67,248,48,360,65,9,65,177,31,165,32
arenicolus,-103.95,33.22,149,180,45,7779,339,-54,393,237,67,248,48,360,65,9,65,177,31,165,32
arenicolus,-103.95,33.21,149,180,45,7779,339,-54,393,237,67,248,48,360,65,9,65,177,31,165,32
arenicolus,-103.94,33.88,142,176,45,7692,332,-54,386,230,60,241,43,376,70,10,66,184,32,181,33
arenicolus,-103.94,33.27,148,180,45,7784,339,-55,394,237,66,248,47,361,65,9,65,177,31,166,32
arenicolus,-103.94,33.25,149,180,45,7779,339,-54,393,237,67,248,48,360,65,9,65,177,31,165,32
arenicolus,-103.94,33.04,150,177,45,7654,337,-49,386,236,68,247,50,365,65,9,66,181,31,165,33
arenicolus,-103.93,33.13,151,180,45,7781,341,-52,393,239,68,250,49,359,64,9,67,176,31,163,32
arenicolus,-103.93,33.07,150,178,45,7713,339,-50,389,238,69,249,50,362,64,9,65,178,31,163,33
arenicolus,-103.93,32.91,154,177,45,7675,341,-45,386,241,73,252,54,356,62,9,66,175,31,157,33
arenicolus,-103.92,33.39,147,181,45,7810,337,-57,394,235,64,246,45,366,66,10,66,179,32,170,33
arenicolus,-103.92,33.23,149,180,45,7779,339,-54,393,237,67,248,48,360,65,9,65,177,31,165,32
arenicolus,-103.92,33.21,149,180,45,7779,339,-54,393,237,67,248,48,360,65,9,65,177,31,165,32
arenicolus,-103.92,33.14,151,180,45,7781,341,-52,393,239,68,250,49,359,64,9,67,176,31,163,32
arenicolus,-103.92,32.92,153,176,45,7678,340,-47,387,239,71,250,52,360,63,9,65,177,31,160,33
arenicolus,-103.91,33.86,142,176,45,7679,332,-54,386,230,60,241,43,377,70,10,67,185,32,181,33
arenicolus,-103.91,33.79,144,177,45,7717,334,-55,389,232,62,243,44,374,69,10,66,183,32,179,33
arenicolus,-103.91,33.38,146,180,45,7772,336,-56,392,234,63,245,44,370,67,10,67,182,32,173,33
arenicolus,-103.91,33.32,147,180,46,7756,336,-55,391,235,64,245,45,368,67,10,67,181,32,171,33
arenicolus,-103.91,33.22,148,180,45,7742,338,-54,392,236,66,247,47,366,66,9,67,180,31,169,32
arenicolus,-103.9,33.9,141,175,45,7657,330,-54,384,229,59,240,42,381,71,10,67,187,33,184,33
arenicolus,-103.9,33.86,142,176,45,7679,332,-54,386,230,60,241,43,377,70,10,67,185,32,181,33
arenicolus,-103.9,33.4,146,180,45,7772,336,-56,392,234,63,245,44,370,67,10,67,182,32,173,33
arenicolus,-103.9,33.3,147,180,46,7756,336,-55,391,235,64,245,45,368,67,10,67,181,32,171,33
arenicolus,-103.9,33.29,147,180,45,7751,337,-55,392,235,65,246,46,367,66,9,67,181,31,170,32
arenicolus,-103.9,33.2,149,180,46,7736,338,-53,391,236,67,247,48,365,65,9,66,180,31,167,32
arenicolus,-103.89,32.88,153,176,45,7631,340,-45,385,239,72,250,53,362,63,9,65,178,31,160,33
arenicolus,-103.88,33.45,145,180,46,7754,335,-56,391,233,63,244,44,369,67,10,67,181,32,173,33
arenicolus,-103.873825,33.39264,145,179,45,7723,334,-57,391,232,62,243,44,375,68,10,66,184,32,176,33
arenicolus,-103.87,33.4,145,179,45,7723,334,-57,391,232,62,243,44,375,68,10,66,184,32,176,33
arenicolus,-103.85,33.84,142,175,45,7690,331,-54,385,230,60,240,42,379,70,10,67,186,32,183,33
arenicolus,-103.85,33.4,145,179,45,7723,334,-57,391,232,62,243,44,375,68,10,66,184,32,176,33
arenicolus,-103.85,33.2,147,179,45,7701,336,-54,390,234,65,245,47,369,66,9,67,182,31,170,32
arenicolus,-103.85,32.62,163,173,45,7624,347,-33,380,248,83,260,64,346,63,9,66,167,31,147,32
arenicolus,-103.84,32.61,163,173,45,7624,347,-33,380,248,83,260,64,346,63,9,66,167,31,147,32
arenicolus,-103.83,33.46,143,179,45,7716,332,-58,390,231,61,242,43,379,69,10,67,186,32,179,33
arenicolus,-103.82,33.72,142,176,45,7692,330,-55,385,230,59,240,42,382,70,10,68,187,32,184,33
arenicolus,-103.82,33.44,143,179,46,7700,332,-57,389,231,61,241,43,379,69,10,67,186,32,179,33
arenicolus,-103.82,32.78,157,174,45,7584,342,-40,382,242,76,253,58,362,64,9,65,177,31,158,33
arenicolus,-103.81,33.45,143,179,46,7700,332,-57,389,231,61,241,43,379,69,10,67,186,32,179,33
arenicolus,-103.81,33.42,143,179,46,7700,332,-57,389,231,61,241,43,379,69,10,67,186,32,179,33
arenicolus,-103.81,32.83,155,175,45,7584,341,-42,383,240,74,251,56,365,65,9,66,180,31,160,33
arenicolus,-103.81,32.82,155,175,45,7584,341,-42,383,240,74,251,56,365,65,9,66,180,31,160,33
arenicolus,-103.81,32.78,157,174,45,7584,342,-40,382,242,76,253,58,362,64,9,65,177,31,158,33
arenicolus,-103.81,32.71,158,174,45,7602,344,-38,382,244,78,255,59,359,64,9,66,175,31,155,33
arenicolus,-103.8,33.8,141,174,45,7651,329,-54,383,228,59,239,42,385,71,10,66,189,33,186,33
arenicolus,-103.8,33.76,141,175,45,7672,330,-54,384,229,59,240,42,383,71,10,68,188,32,185,33
arenicolus,-103.8,33.7,142,177,45,7677,331,-56,387,230,60,240,42,381,70,10,67,186,32,182,33
arenicolus,-103.8,33.5,143,179,45,7716,332,-58,390,231,61,242,43,379,69,10,67,186,32,179,33
arenicolus,-103.8,33.2,144,177,46,7583,330,-54,384,229,62,240,44,382,69,9,68,189,32,177,33
arenicolus,-103.8,32.8,155,175,45,7584,341,-42,383,240,74,251,56,365,65,9,66,180,31,160,33
arenicolus,-103.8,32.78,157,174,45,7584,342,-40,382,242,76,253,58,362,64,9,65,177,31,158,33
arenicolus,-103.8,32.71,158,174,45,7602,344,-38,382,244,78,255,59,359,64,9,66,175,31,155,33
arenicolus,-103.8,32.7,160,174,45,7601,345,-37,382,245,79,256,61,354,64,9,65,172,31,152,33
arenicolus,-103.8,32.6,163,173,45,7611,347,-33,380,248,82,259,63,348,63,9,63,167,31,148,33
arenicolus,-103.79,33.71,141,175,45,7644,329,-55,384,228,59,239,42,388,71,10,67,190,33,187,33
arenicolus,-103.79,33.45,141,178,45,7632,329,-58,387,228,59,238,41,385,70,10,66,189,33,182,33
arenicolus,-103.78,32.81,154,174,45,7539,339,-41,380,239,73,249,55,370,65,9,67,182,32,163,33
arenicolus,-103.77,33.7,141,176,45,7655,329,-56,385,228,59,239,42,387,71,10,67,190,33,186,33
arenicolus,-103.77,33.47,142,178,45,7677,330,-57,387,230,60,240,42,383,70,10,68,188,33,182,33
arenicolus,-103.76,33.66,142,177,45,7686,330,-56,386,230,60,240,42,385,70,10,66,188,33,184,33
arenicolus,-103.76,33.49,142,178,45,7677,330,-57,387,230,60,240,42,383,70,10,68,188,33,182,33
arenicolus,-103.76,33.44,141,178,45,7632,329,-58,387,228,59,238,41,385,70,10,66,189,33,182,33
arenicolus,-103.76,33.43,141,178,45,7632,329,-58,387,228,59,238,41,385,70,10,66,189,33,182,33
arenicolus,-103.74,32.69,159,173,45,7567,344,-36,380,244,79,255,61,358,64,9,66,174,31,155,33
arenicolus,-103.73,32.69,159,173,45,7567,344,-36,380,244,79,255,61,358,64,9,66,174,31,155,33
arenicolus,-103.71,32.79,156,174,45,7545,341,-40,381,241,75,251,57,368,65,9,66,180,32,161,33
arenicolus,-103.7,32.8,152,173,45,7470,336,-42,378,236,72,247,54,381,66,9,67,187,33,169,34
arenicolus,-103.7,32.75,157,173,45,7550,342,-38,380,242,77,253,58,368,65,9,66,179,31,161,33
arenicolus,-103.7,32.7,159,172,45,7556,343,-36,379,244,79,255,60,361,64,9,65,175,31,157,33
arenicolus,-103.69,32.71,157,173,45,7550,342,-38,380,242,77,253,58,368,65,9,66,179,31,161,33
arenicolus,-103.67,32.67,159,172,45,7556,343,-36,379,244,79,255,60,361,64,9,65,175,31,157,33
arenicolus,-103.66,33.47,141,177,45,7627,328,-59,387,227,59,238,41,394,71,9,68,192,32,188,32
arenicolus,-103.65,32.7,159,172,45,7518,342,-37,379,243,78,254,60,363,64,8,66,176,30,159,32
arenicolus,-103.62,33.51,139,176,45,7608,325,-59,384,225,57,236,39,398,72,9,68,195,32,191,32
arenicolus,-103.61,33.7,139,174,45,7624,325,-56,381,226,57,236,40,402,73,10,67,195,33,194,33
arenicolus,-103.6,33.7,139,174,45,7624,325,-56,381,226,57,236,40,402,73,10,67,195,33,194,33
arenicolus,-103.6,32.71,155,171,45,7494,337,-39,376,239,74,250,57,376,65,9,66,182,32,166,33
arenicolus,-103.6,32.7,158,171,45,7503,340,-37,377,242,78,252,59,367,64,8,67,177,30,161,32
arenicolus,-103.6,32.6,161,170,45,7539,343,-34,377,245,81,256,62,357,63,8,66,171,30,155,32
arenicolus,-103.6,32.57,161,169,45,7503,342,-33,375,245,81,256,63,357,63,8,66,170,30,154,32
arenicolus,-103.57,32.65,158,170,45,7482,339,-35,374,242,78,253,60,366,64,8,66,175,30,160,32
arenicolus,-103.51,32.63,157,168,45,7456,337,-36,373,241,77,251,59,369,64,8,67,176,30,162,32
arenicolus,-103.48,32.62,159,168,45,7477,339,-34,373,243,79,254,61,367,63,8,66,173,30,160,32
arenicolus,-103.48,32.58,160,167,44,7457,339,-33,372,243,80,254,62,364,63,8,64,171,31,157,32
arenicolus,-103.46,33.48,139,177,45,7656,325,-61,386,226,39,237,39,405,72,9,68,196,31,193,31
arenicolus,-103.46,33.45,139,178,46,7617,325,-61,386,226,40,236,40,404,72,9,68,195,31,192,31
arenicolus,-103.42,32.58,160,166,44,7455,338,-32,370,243,80,254,62,368,63,8,65,172,31,159,32
arenicolus,-103.42,32.56,160,166,44,7455,338,-32,370,243,80,254,62,368,63,8,65,172,31,159,32
arenicolus,-103.41,32.59,160,167,45,7471,338,-33,371,243,80,254,61,370,62,8,65,171,31,160,32
arenicolus,-103.41,32.57,161,166,44,7451,339,-32,371,244,81,255,63,368,62,8,64,171,31,159,32
arenicolus,-103.37,33.45,140,179,46,7689,326,-63,389,227,39,237,39,410,72,9,67,197,31,195,31
arenicolus,-103.36,32.56,162,166,44,7446,339,-31,370,245,82,255,64,368,62,8,64,170,31,158,32
